,Currency Pair 1,Currency Pair 2,alpha,r-squared,Treynor Ratio,Info Ratio
73,SEKUSD=X,LKRUSD=X,-0.005464598604118745,0.5293198190431684,0.0476524354213961,-6.791855515316948
63,DKKUSD=X,JPYUSD=X,-0.005756827305210377,0.5544389914118708,0.08933465025923758,-8.837145215049505
94,THBUSD=X,ZARUSD=X,-0.005965469462969872,0.4430759053702771,0.02794676502056578,-1.2670604998210417
7,NOKUSD=X,ZARUSD=X,-0.006009986950861884,0.8377556748274464,0.09800710860675846,-2.365045499968283
61,EURUSD=X,JPYUSD=X,-0.006043842677743844,0.5698750505392463,0.6523716066670366,-9.442743936978825
8,THBUSD=X,JPYUSD=X,-0.006080818225369825,0.8301677369202223,0.01783632669007903,-15.119391123221673
23,INRUSD=X,JPYUSD=X,-0.0062587753816204,0.7598238883935751,0.0076122626674651195,-13.085997712929004
120,DKKUSD=X,ZARUSD=X,-0.006542464300614684,0.3147266489486745,0.13572577536242225,-1.2527377622972897
103,TWDUSD=X,NOKUSD=X,-0.009619145308276636,0.3705755235344196,0.03085960017471195,-1.347363793015229
86,DKKUSD=X,LKRUSD=X,-0.011262711340416315,0.4713156720546756,0.042995664797070024,-13.208024402976124
9,MYRUSD=X,JPYUSD=X,-0.011464868875879676,0.8245210188287501,0.0995470734998918,-28.03797454941049
80,EURUSD=X,LKRUSD=X,-0.01173453173805496,0.4937311793246675,0.31100930355482853,-14.0626866796421
27,KRWUSD=X,NOKUSD=X,-0.01291900235333708,0.74593795116134,0.0007373712842676455,-2.8482577010899965
87,AUDUSD=X,ZARUSD=X,-0.013514589022351281,0.46531711474388116,0.575830790342748,-2.9295804642644616
32,DKKUSD=X,NZDUSD=X,-0.014075604931014563,0.726186611004106,0.14668686161278285,-0.6733906534295312
49,KRWUSD=X,ZARUSD=X,-0.015450060146036282,0.6436729947138714,0.0006631723852001369,-4.102575049801652
1,AUDUSD=X,NZDUSD=X,-0.016625198053858203,0.8934300756814131,0.6822214310241247,-1.274902153560492
43,MYRUSD=X,LKRUSD=X,-0.01732148203385062,0.6843902340438455,0.048487201658344574,-26.28945035386024
55,NZDUSD=X,ZARUSD=X,-0.017585988157502633,0.6075683539838551,0.5108713394148587,-4.4497487974579
66,GBPUSD=X,NOKUSD=X,-0.021311085957124942,0.5483167602171913,1.0710420719595493,-3.523780061100788
72,EURUSD=X,NOKUSD=X,-0.022066701870369382,0.5309901615047017,0.9259816835119826,-3.5806894115081067
47,AUDUSD=X,NOKUSD=X,-0.023193706675324,0.6678925874039785,0.5753002718647134,-4.472507493460493
19,GBPUSD=X,NZDUSD=X,-0.023782562415475272,0.7713038409807553,1.2385606995035343,-1.2449633471145636
104,CNYUSD=X,ZARUSD=X,-0.027149225188305787,0.3610539725542167,0.10272847756814331,-5.382907810673212
3,NZDUSD=X,SEKUSD=X,-0.030667345934842646,0.8552595174112713,0.5060719165779275,-8.985142943933946
30,INRUSD=X,ZARUSD=X,-0.030932521648135508,0.7348911370669273,0.008860148453236695,-9.522564676314321
34,GBPUSD=X,SEKUSD=X,-0.041945336635861044,0.7204306583312698,0.9174867227632663,-8.842655769874241
165,SGDUSD=X,NOKUSD=X,-0.043175517317223217,0.09864963343796673,0.5239139361783189,-5.0537171457768295
50,TWDUSD=X,SEKUSD=X,-0.04764154559419666,0.6355991893294615,0.023137188400163544,-8.797109178211983
75,CNYUSD=X,SEKUSD=X,-0.048959702696884266,0.5225861707043719,0.10034046259576351,-7.8953480110781715
5,DKKUSD=X,SEKUSD=X,-0.0572453690174234,0.8509836885874256,0.09701090510104002,-16.529787151946675
35,MYRUSD=X,ZARUSD=X,-0.05772782400306625,0.7203324288469167,0.12192057711109418,-17.300383151118513
6,EURUSD=X,SEKUSD=X,-0.05773780922541573,0.8455980558060218,0.7205053920981634,-16.378635786465075
93,CADUSD=X,SEKUSD=X,-0.06966406098951113,0.45018774953105734,0.45803794644054335,-10.472379891737189
11,MYRUSD=X,NOKUSD=X,-0.07534860622875393,0.8121804800505074,0.13741042636055636,-19.313929732225127
37,CNYUSD=X,AUDUSD=X,-0.08752013244993417,0.7070636289981882,0.13072401442312448,-4.102428823181506
41,MYRUSD=X,NZDUSD=X,-0.09174998582125138,0.6861249551490038,0.20505993558772542,-4.098393597134539
132,HKDUSD=X,LKRUSD=X,-0.1202465949788864,0.2597761416140979,0.004653922320175621,-119.17478453080162
65,CADUSD=X,GBPUSD=X,-0.14581430534326922,0.548611301906863,0.6839216921201445,-3.2652577037640107
136,HKDUSD=X,THBUSD=X,-0.16370980304238616,0.24879582281111812,0.020177303351499844,-101.21888427025104
102,HKDUSD=X,TWDUSD=X,-0.16727788823503392,0.37365772184310375,0.021445295491457347,-134.2514467119024
51,CADUSD=X,NZDUSD=X,-0.2663056886867836,0.6292322386012232,0.54116160198191,-10.948555318571184
163,HKDUSD=X,NOKUSD=X,-0.49516315382898757,0.10288189899826616,0.022833697895459942,-58.095662911131214
145,HKDUSD=X,MYRUSD=X,-0.6729805891446565,0.1751511375284588,0.033041680292604535,-71.37108610654079
106,SGDUSD=X,GBPUSD=X,-0.8239351958936005,0.35436079291243916,0.4474030132256232,-15.42733027639068
148,HKDUSD=X,AUDUSD=X,-2.460978154448226,0.14763583782329248,0.02836181037344621,-67.64913350734643
147,HKDUSD=X,CHFUSD=X,-2.556208774264831,0.154190532890218,0.03768859999472818,-62.91417668403066
142,HKDUSD=X,NZDUSD=X,-3.120653851049248,0.20486994336102093,0.022192915731650047,-87.61003806309066
92,HKDUSD=X,EURUSD=X,-6.809518591888235,0.450772766935837,0.018046630922414937,-162.48366495739307
